rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
59,737302,Faunia,Nature & Wildlife Areas,Vicálvaro,3.4,1307,FALSE,,Admission Tickets Available,"The 140,000 square meters of this biological park are home to more than 3.000 different animals from different climates and ecosystems.",https://www.tripadvisor.com/Attraction_Review-g187514-d737302-Reviews-Faunia-Madrid.html
60,246517,Paseo Del Prado,Points of Interest & Landmarks,Paseo del Prado,4.4,4388,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246517-Reviews-Paseo_Del_Prado-Madrid.html
61,2004762,Museo Del Romanticismo,Speciality Museums,Chueca,4.4,1098,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2004762-Reviews-Museo_Del_Romanticismo-Madrid.html
62,244688,Teatro Lara,Theaters,Malasaña,4.1,680,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244688-Reviews-Teatro_Lara-Madrid.html
63,244693,New Apolo Theater (Teatro Nuevo Apolo),Theaters,Lavapiés,3.4,416,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244693-Reviews-New_Apolo_Theater_Teatro_Nuevo_Apolo-Madrid.html
64,244280,Museo de Historia de Madrid,History Museums,Centro,4.2,437,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244280-Reviews-Museo_de_Historia_de_Madrid-Madrid.html
65,244713,Parque Juan Carlos I,Parks,Barajas (District),4.3,366,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244713-Reviews-Parque_Juan_Carlos_I-Madrid.html
66,953326,Museo del Aire,Military Museums • Speciality Museums,Cuatro Vientos,4.4,386,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d953326-Reviews-Museo_del_Aire-Madrid.html
67,2354488,Mercado de Anton Martin,Flea & Street Markets,Lavapiés,4.3,335,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2354488-Reviews-Mercado_de_Anton_Martin-Madrid.html
68,246163,Teatro Real,Architectural Buildings • Theaters,Centro,4,762,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246163-Reviews-Teatro_Real-Madrid.html
69,244553,Auditorio Nacional de Musica,Theaters,Ciudad Jardín,4.6,516,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244553-Reviews-Auditorio_Nacional_de_Musica-Madrid.html
70,4602737,Edificio Metrópolis,Architectural Buildings,Barrio de Salamanca,4.4,1873,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4602737-Reviews-Edificio_Metropolis-Madrid.html
71,25183986,Church of Saint Anthony of the German,Churches & Cathedrals,,4.7,877,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d25183986-Reviews-Church_of_Saint_Anthony_of_the_German-Madrid.html
72,3319929,Centro Comercial Plenilunio,Shopping Malls,Rejas,3.7,359,FALSE,Open now,,Shopping and Leisure Center with a wide range of Fashion Stores and Restaurants. In addition to Movie Rooms and Gym with Spa.,https://www.tripadvisor.com/Attraction_Review-g187514-d3319929-Reviews-Centro_Comercial_Plenilunio-Madrid.html
73,313698,Cava Baja Gallery,Art Galleries,La Latina,4.4,1440,FALSE,,,"Cava Baja Gallery, Art Gallery in Madrid City. Spanish artists Alfredo Roldán and Dimas Arrieta, Underground La Latina. Cava Baja Gallery is near the Plaza Mayor, Almudena's Cathedral, The Royal Palace…",https://www.tripadvisor.com/Attraction_Review-g187514-d313698-Reviews-Cava_Baja_Gallery-Madrid.html
74,4176370,El Oso y el Madroño,Points of Interest & Landmarks,Centro,4,755,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4176370-Reviews-El_Oso_y_el_Madrono-Madrid.html
75,590938,Jardines de Sabatini,Gardens,Centro,4.2,1129,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d590938-Reviews-Jardines_de_Sabatini-Madrid.html
76,3545435,Parque La Quinta de los Molinos,Parks,San Blas - Canillejas,4.3,278,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3545435-Reviews-Parque_La_Quinta_de_los_Molinos-Madrid.html
77,7733350,Mercado San Fernando,Flea & Street Markets • Farmers Markets,Lavapiés,4.2,296,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d7733350-Reviews-Mercado_San_Fernando-Madrid.html
78,190546,Paseo De la Castellana,Neighborhoods • Points of Interest & Landmarks,Hispanoamérica,4.1,388,FALSE,,,"Wide, tree-lined avenue leading up to the world-famous Prado museum.",https://www.tripadvisor.com/Attraction_Review-g187514-d190546-Reviews-Paseo_De_la_Castellana-Madrid.html
79,4889743,Casita Museo de Raton Perez,Speciality Museums,Centro,3.8,369,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4889743-Reviews-Casita_Museo_de_Raton_Perez-Madrid.html
80,244687,Teatro La Latina,Theaters,La Latina,3.4,409,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244687-Reviews-Teatro_La_Latina-Madrid.html
81,15553416,Circlassica,Theaters,Barajas (District),4.1,214,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d15553416-Reviews-Circlassica-Madrid.html
82,244274,Casa Museo Lope de Vega,Speciality Museums • History Museums,Huertas,4.6,817,TRUE,,,"""My little house, my peace, my garden and my study"" Such was the way Lope described his house in a letter to a friend. A visit to this house es a testimony, a literary and emotional journey, an invitation…",https://www.tripadvisor.com/Attraction_Review-g187514-d244274-Reviews-Casa_Museo_Lope_de_Vega-Madrid.html
83,8090760,Barrio de Las Letras,Neighborhoods,Huertas,4.6,594,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d8090760-Reviews-Barrio_de_Las_Letras-Madrid.html
84,246520,Gay Madrid & the Chueca District,Neighborhoods,Centro,4.3,851,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246520-Reviews-Gay_Madrid_the_Chueca_District-Madrid.html
85,10196237,Bingo Canoe,Casinos,Tetuán,4.3,148,FALSE,Open now,,"Bingo CANOE is an international point of reference as for the entertainment offer in Madrid with36 years of history. More than 380,000 people yearly enjoy its wide range of entertainment activities…",https://www.tripadvisor.com/Attraction_Review-g187514-d10196237-Reviews-Bingo_Canoe-Madrid.html
86,2416425,Museo Geominero,Speciality Museums,Chamberí,4.5,226,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2416425-Reviews-Museo_Geominero-Madrid.html
87,1467671,Museo Nacional de Ciencias Naturales,Science Museums,Chamartín,3.6,613,FALSE,,,"The National Museum of Natural Sciencies: a unique place in Madrid. From December 2010 new exhibits of Geology, Zoology, Paleontology and Human Evolution are on display. It is worth a visit!",https://www.tripadvisor.com/Attraction_Review-g187514-d1467671-Reviews-Museo_Nacional_de_Ciencias_Naturales-Madrid.html
88,3229006,Iglesia de Santa Cruz,Religious Sites • Churches & Cathedrals,Centro,4.1,88,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3229006-Reviews-Iglesia_de_Santa_Cruz-Madrid.html
89,261855,Ermita De San Antonio De La Florida,Religious Sites • Churches & Cathedrals,Moncloa - Aravaca,4.5,1173,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d261855-Reviews-Ermita_De_San_Antonio_De_La_Florida-Madrid.html
90,2530971,Centro de Exposiciones Arte Canal,Art Galleries • Speciality Museums,Nueva España,4.2,252,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2530971-Reviews-Centro_de_Exposiciones_Arte_Canal-Madrid.html
91,4281959,Mercado la Cebada,Flea & Street Markets,La Latina,4.2,297,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4281959-Reviews-Mercado_la_Cebada-Madrid.html
92,3390270,Cerro del Tio Pio,Parks,Numancia,4.4,203,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3390270-Reviews-Cerro_del_Tio_Pio-Madrid.html
93,8076552,Jardines de la Rosaleda,Gardens,Moncloa - Aravaca,4.5,239,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d8076552-Reviews-Jardines_de_la_Rosaleda-Madrid.html
94,265456,Los Jerónimos,Historic Sites • Churches & Cathedrals,Paseo del Prado,4.2,477,FALSE,,,"Traditional church where the royals were, and still are, crowned.",https://www.tripadvisor.com/Attraction_Review-g187514-d265456-Reviews-Los_Jeronimos-Madrid.html
95,4102994,Teatro Muñoz Seca,Theaters,Centro,4.1,110,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4102994-Reviews-Teatro_Munoz_Seca-Madrid.html
96,244289,Museo de la Real Academia de Bellas Artes de San Fernando,Art Museums,Centro,4.4,492,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244289-Reviews-Museo_de_la_Real_Academia_de_Bellas_Artes_de_San_Fernando-Madrid.html
97,244288,Museo de Cera de Madrid,Speciality Museums,Chueca,3.4,1531,FALSE,,Admission Tickets Available,"On the 14th of February 1972 the Madrid Wax Museum opened its doors. Located on the Paseo de Recoletos, it is at the start of what is known as the ""golden mile"" of Madrid Museums. 2,000 square metres…",https://www.tripadvisor.com/Attraction_Review-g187514-d244288-Reviews-Museo_de_Cera_de_Madrid-Madrid.html
98,244276,Monasterio De Las Descalzas Reales,Religious Sites,Centro,4.1,982,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244276-Reviews-Monasterio_De_Las_Descalzas_Reales-Madrid.html
99,246159,Cibeles Fountain,Fountains,Centro,4.3,1779,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246159-Reviews-Cibeles_Fountain-Madrid.html
100,591721,Biblioteca Nacional de España,Libraries,Barrio de Salamanca,4.3,527,FALSE,,Admission Tickets Available,,https://www.tripadvisor.com/Attraction_Review-g187514-d591721-Reviews-Biblioteca_Nacional_de_Espana-Madrid.html
101,1419410,Ifema Madrid,Convention Centers,Barajas (District),3.4,523,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d1419410-Reviews-Ifema_Madrid-Madrid.html
102,16770918,La Caja Lista,Theaters,Arganzuela,4.8,104,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d16770918-Reviews-La_Caja_Lista-Madrid.html
103,15147430,Lush Spa Madrid,Spas,Centro,5,1608,TRUE,,,"Lush spa Madrid, located near Puerta del Sol at the heart of Madrid, is the center of our cosmetic business, which is why you'll start your spa experience in a welcoming kitchen, heart of every household…",https://www.tripadvisor.com/Attraction_Review-g187514-d15147430-Reviews-Lush_Spa_Madrid-Madrid.html
104,3247948,Faro de Moncloa,Points of Interest & Landmarks,Moncloa - Aravaca,4.1,576,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d3247948-Reviews-Faro_de_Moncloa-Madrid.html
105,4553089,Monasterio Del Corpus Christi,Religious Sites,Centro,4.5,91,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d4553089-Reviews-Monasterio_Del_Corpus_Christi-Madrid.html
106,2542433,Campo Del Moro,Parks • Gardens,Centro,4.2,291,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d2542433-Reviews-Campo_Del_Moro-Madrid.html
107,244287,Museo De America,History Museums,Moncloa - Aravaca,4.1,438,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d244287-Reviews-Museo_De_America-Madrid.html
108,2147755,Museo del Ferrocarril de Madrid,Speciality Museums • History Museums,Arganzuela,4.1,482,FALSE,,,"The Railway Museum is located in the old station of Delicias, which opened in 1880 by king Alfonso XII and Queen Maria Cristina, is one of the most significant examples of the ""iron architecture"" …",https://www.tripadvisor.com/Attraction_Review-g187514-d2147755-Reviews-Museo_del_Ferrocarril_de_Madrid-Madrid.html
109,23957662,Calle 365,Bars & Clubs,,5,1667,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187514-d23957662-Reviews-Calle_365-Madrid.html
110,246518,Plaza de la Villa,Historic Sites • Points of Interest & Landmarks,Centro,4.2,634,TRUE,,,,https://www.tripadvisor.com/Attraction_Review-g187514-d246518-Reviews-Plaza_de_la_Villa-Madrid.html
