location_id,name,stars,rating,num_reviews,ranking_barcelona,price_min_usd,price_max_usd,price_lowest,address,phone,latitude,longitude,category,url
206923,Mercure Barcelona Condor,4,3.9,608,#304 of 521 hotels in Barcelona,144,308,,"Via Augusta 127, 08006 Barcelona Spain",+34 932 09 45 11,41.399963,2.145189,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206923-Reviews-Mercure_Barcelona_Condor-Barcelona_Catalonia.html
206924,NH Barcelona Entenza,3,3.9,582,#243 of 521 hotels in Barcelona,110,403,,"Ecuador, 20, 08029 Barcelona Spain",+34 934 19 36 36,41.385815,2.140598,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206924-Reviews-NH_Barcelona_Entenza-Barcelona_Catalonia.html
206925,NH Barcelona Stadium,4,4,1064,#188 of 521 hotels in Barcelona,140,416,$216,"Travessera De Les Corts, 150-152, 08028 Barcelona Spain",+34 933 39 90 50,41.381207,2.126867,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206925-Reviews-NH_Barcelona_Stadium-Barcelona_Catalonia.html
206926,Chic&basic Reding,3,4.1,733,#224 of 521 hotels in Barcelona,129,485,,"Carrer de Gravina, 5-7, 08001 Barcelona Spain",+34 934 12 10 97,41.38558,2.165775,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206926-Reviews-Chic_basic_Reding-Barcelona_Catalonia.html
206927,Barcelona Atiram Hotel,,3.6,316,#403 of 521 hotels in Barcelona,450,1553,,"Caspe 1-13, 08010 Barcelona Spain",+34 933 02 58 58,41.389008,2.170018,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206927-Reviews-Barcelona_Atiram_Hotel-Barcelona_Catalonia.html
206928,Citadines Ramblas Barcelona,3,4.1,1430,#215 of 521 hotels in Barcelona,148,417,$171,"Ramblas 122, 08002 Barcelona Spain",+34 932 70 11 11,41.383915,2.17152,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206928-Reviews-Citadines_Ramblas_Barcelona-Barcelona_Catalonia.html
206929,NH Barcelona Les Corts,3,3.8,1003,#258 of 521 hotels in Barcelona,139,325,,"Calle Nicaragua, 146, 08029 Barcelona Spain",+34 933 22 08 11,41.38745,2.136709,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206929-Reviews-NH_Barcelona_Les_Corts-Barcelona_Catalonia.html
206930,NH Sants Barcelona,4,4,2178,#144 of 521 hotels in Barcelona,143,363,$160,"Numancia, 74, 08029 Barcelona Spain",+34 933 22 44 51,41.38453,2.137729,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206930-Reviews-NH_Sants_Barcelona-Barcelona_Catalonia.html
206931,Hotel chic&basic Velvet,3,4,131,#379 of 521 hotels in Barcelona,118,542,,"Calle Concell De Cent, 74, 08015 Barcelona Spain",+34 934 23 46 47,41.3792,2.150338,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206931-Reviews-Hotel_chic_basic_Velvet-Barcelona_Catalonia.html
206932,Ginosi Pedralbes Hotel,3,2.6,125,#514 of 521 hotels in Barcelona,201,378,,"Carrer de Fontcoberta, 4, 08034 Barcelona Spain",+1 818-641-1564,41.394817,2.124536,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206932-Reviews-Ginosi_Pedralbes_Hotel-Barcelona_Catalonia.html
206933,Hotel Derby,4,4,1125,#174 of 521 hotels in Barcelona,126,425,$129,"Carrer de Loreto 21 Les Corts, 08029 Barcelona Spain",+34 933 22 32 15,41.389847,2.14199,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206933-Reviews-Hotel_Derby-Barcelona_Catalonia.html
206935,Hotel Balmoral,,4,1075,#218 of 521 hotels in Barcelona,133,618,$119,"Via Augusta, 5, 8006 Barcelona Spain",+34 932 17 87 00,41.39621,2.155158,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206935-Reviews-Hotel_Balmoral-Barcelona_Catalonia.html
206936,El Avenida Palace,4,4.2,3668,#86 of 521 hotels in Barcelona,180,593,$175,"Gran Via de las Cortes Catalanas, 605-607, 08007 Barcelona Spain",+34 933 01 96 00,41.389065,2.167363,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206936-Reviews-El_Avenida_Palace-Barcelona_Catalonia.html
206937,Exe Cristal Palace,4,3.5,1127,#383 of 521 hotels in Barcelona,171,410,,"C/ de la Diputació, 257, 08007 Barcelona Spain",+34 933 93 09 70,41.38992,2.166043,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d206937-Reviews-Exe_Cristal_Palace-Barcelona_Catalonia.html
208209,Gran Hotel Havana by Escampa Hotels,4.5,4.1,1846,#164 of 521 hotels in Barcelona,201,486,$241,"Gran Via de les Corts Catalanes 647 L'Eixample, 08010 Barcelona Spain",+34 933 41 70 00,41.392723,2.17202,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208209-Reviews-Gran_Hotel_Havana_by_Escampa_Hotels-Barcelona_Catalonia.html
208210,Torre Melina Gran Meliá,5,4.1,124,#353 of 521 hotels in Barcelona,298,993,$236,"Av. Diagonal, 671, 08028 Barcelona Spain",+34 933 64 40 40,41.381443,2.108862,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208210-Reviews-Torre_Melina_Gran_Melia-Barcelona_Catalonia.html
208586,Hostal Fernando,2,4,911,#24 of 313 B&Bs / Inns in Barcelona,125,395,$146,"Carrer De Ferran 31, 08002 Barcelona Spain",+34 933 01 79 93,41.381474,2.175402,BB,https://www.tripadvisor.com/Hotel_Review-g187497-d208586-Reviews-Hostal_Fernando-Barcelona_Catalonia.html
208589,Hotel Ginebra,1,4.3,532,#189 of 521 hotels in Barcelona,130,420,,"Rambla Catalunya 1, 3 - 1, 08007 Barcelona Spain",+34 932 50 20 17,41.3874,2.167877,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208589-Reviews-Hotel_Ginebra-Barcelona_Catalonia.html
208590,Hostal Centric,2,4.5,404,#14 of 313 B&Bs / Inns in Barcelona,160,310,,"Casanova, 13, 08011 Barcelona Spain",+34 934 26 75 73,41.38252,2.162467,BB,https://www.tripadvisor.com/Hotel_Review-g187497-d208590-Reviews-Hostal_Centric-Barcelona_Catalonia.html
208591,Hotel Lloret Rambles Barcelona,1,3.8,1491,#285 of 521 hotels in Barcelona,111,439,$145,"Rambla Canaletes 125, 08002 Barcelona Spain",+34 933 17 33 66,41.38485,2.170161,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208591-Reviews-Hotel_Lloret_Rambles_Barcelona-Barcelona_Catalonia.html
208593,"Hotel California, Barcelona",2,4,831,#267 of 521 hotels in Barcelona,174,751,,"C/ Rauric No. 14, 08002 Barcelona Spain",+34 933 17 54 74,41.380955,2.175273,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208593-Reviews-Hotel_California_Barcelona-Barcelona_Catalonia.html
208596,Hotel Granvia,3,4.6,2131,#63 of 521 hotels in Barcelona,180,660,$271,"Gran Via de les Corts Catalanes 642, 08007 Barcelona Spain",+34 933 18 19 00,41.389973,2.169574,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d208596-Reviews-Hotel_Granvia-Barcelona_Catalonia.html
227464,Hotel Regina Barcelona,4,4.3,38,#380 of 521 hotels in Barcelona,193,482,$239,"Carrer Bergara 4, 08002 Barcelona Spain",+34 933 01 32 32,41.38606,2.168099,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d227464-Reviews-Hotel_Regina_Barcelona-Barcelona_Catalonia.html
227465,Hotel Garbí Mil·lenni,4,3.5,524,#373 of 521 hotels in Barcelona,115,339,,"Ronda de Sant Pau, 14, 08001 Barcelona Spain",+34 934 41 41 77,41.375988,2.167148,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d227465-Reviews-Hotel_Garbi_Mil_lenni-Barcelona_Catalonia.html
227467,Best Western Plus Hotel Alfa Aeropuerto,4,3.9,1665,#110 of 521 hotels in Barcelona,125,362,$158,"Zona Franca Calle K, 08040 Barcelona Spain",+34 933 36 25 64,41.32843,2.112899,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d227467-Reviews-Best_Western_Plus_Hotel_Alfa_Aeropuerto-Barcelona_Catalonia.html
228419,Hilton Barcelona,4,4.1,2741,#260 of 521 hotels in Barcelona,199,680,,"Avenida Diagonal 589-591, 08014 Barcelona Spain",+34 934 95 77 77,41.388664,2.131488,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228419-Reviews-Hilton_Barcelona-Barcelona_Catalonia.html
228461,Ac Hotel Victoria Suites,4,4.2,457,#292 of 521 hotels in Barcelona,205,475,,"Beltran I Ròzpide, 7-9, 08034 Barcelona Spain",+34 932 06 99 00,41.38897,2.12043,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228461-Reviews-Ac_Hotel_Victoria_Suites-Barcelona_Catalonia.html
228463,Euro Hotel Barcelona Port,4,3.4,771,#401 of 521 hotels in Barcelona,132,368,,"Carrer de Lope de Vega, 4, 08005 Barcelona Spain",+34 932 30 20 00,41.400562,2.209021,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228463-Reviews-Euro_Hotel_Barcelona_Port-Barcelona_Catalonia.html
228464,Hotel Alimara Barcelona,4,3.9,1245,#210 of 521 hotels in Barcelona,121,304,$122,"Carrer de Berruguete, 126, 08035 Barcelona Spain",+34 934 27 00 00,41.434025,2.147445,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228464-Reviews-Hotel_Alimara_Barcelona-Barcelona_Catalonia.html
228465,Gallery Hotel,4.5,4.7,2744,#26 of 521 hotels in Barcelona,170,522,$266,"Roselló, 249, 08008 Barcelona Spain",+34 934 15 99 11,41.395077,2.159359,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228465-Reviews-Gallery_Hotel-Barcelona_Catalonia.html
228466,InterContinental Barcelona by IHG,5,4.5,2052,#78 of 521 hotels in Barcelona,285,2410,$301,"Avenida Rius I Taulet 1-3, 08004 Barcelona Spain",+34 934 26 22 23,41.372772,2.155079,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-InterContinental_Barcelona_by_IHG-Barcelona_Catalonia.html
228469,Catalonia Atenas,4,3.8,2350,#248 of 521 hotels in Barcelona,124,351,$111,"Avda Meridiana 151, 08026 Barcelona Spain",+34 932 32 20 11,41.411015,2.18659,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228469-Reviews-Catalonia_Atenas-Barcelona_Catalonia.html
228478,Hotel Via Augusta,4,4.1,1146,#165 of 521 hotels in Barcelona,114,326,,"Via Augusta 63, 08006 Barcelona Spain",+34 932 17 92 50,41.40006,2.151419,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228478-Reviews-Hotel_Via_Augusta-Barcelona_Catalonia.html
228479,Hesperia Barcelona Barri Gòtic,3,4.3,1061,#125 of 521 hotels in Barcelona,155,570,$159,"Carrer Ample, 31 Ciutat Vella, 08002 Barcelona Spain",+34 933 10 51 00,41.38046,2.179858,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228479-Reviews-Hesperia_Barcelona_Barri_Gotic-Barcelona_Catalonia.html
228483,Catalonia Park Putxet,4,3.3,1326,#387 of 521 hotels in Barcelona,115,311,$145,"Carrer Putxet 68-74, 08023 Barcelona Spain",+34 932 12 51 58,41.407284,2.144298,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228483-Reviews-Catalonia_Park_Putxet-Barcelona_Catalonia.html
228492,Catalonia Mikado,3,3.8,481,#331 of 521 hotels in Barcelona,139,368,,"Pg. de la Bonanova 58, 08017 Barcelona Spain",+34 932 11 41 66,41.403347,2.126999,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228492-Reviews-Catalonia_Mikado-Barcelona_Catalonia.html
228500,Moxy Barcelona,4,3.2,96,#435 of 521 hotels in Barcelona,161,364,,"Carrer de Mallorca, 1, 23 Sants-Montjuïc District, 08014 Barcelona Spain",+34 935 00 12 00,41.379433,2.142676,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228500-Reviews-Moxy_Barcelona-Barcelona_Catalonia.html
228507,Barceló Sants,4,4.3,6197,#123 of 521 hotels in Barcelona,160,398,$161,"Plaza dels Paisos Catalans, S/N, 8014 Barcelona Spain",+34 935 03 53 00,41.37913,2.139601,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228507-Reviews-Barcelo_Sants-Barcelona_Catalonia.html
228512,Renaissance Barcelona Hotel,5,4.2,1839,#206 of 521 hotels in Barcelona,324,697,$370,"Pau Claris, 122, 08009 Barcelona Spain",+34 932 72 38 10,41.392612,2.167507,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228512-Reviews-Renaissance_Barcelona_Hotel-Barcelona_Catalonia.html
228527,Catalonia Portal de l'Ángel,3,4.4,1825,#89 of 521 hotels in Barcelona,155,633,$172,"Avd Portal De L’Angel 17, 08002 Barcelona Spain",+34 933 18 41 41,41.385532,2.172984,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228527-Reviews-Catalonia_Portal_de_l_Angel-Barcelona_Catalonia.html
228531,Condado Hotel Barcelona,3,4.2,1482,#223 of 521 hotels in Barcelona,97,227,,"Carrer d'Aribau, 201 Sarria-Sant Gervasi, 08021 Barcelona Spain",+34 932 00 23 11,41.395657,2.149504,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228531-Reviews-Condado_Hotel_Barcelona-Barcelona_Catalonia.html
228544,Catalonia Sagrada Familia,3,3.8,1997,#334 of 521 hotels in Barcelona,119,331,$129,"Carrer D'Arago, 577-579, 08026 Barcelona Spain",+34 932 45 89 05,41.40788,2.185379,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228544-Reviews-Catalonia_Sagrada_Familia-Barcelona_Catalonia.html
228546,Catalonia Castellnou,3,4,608,#276 of 521 hotels in Barcelona,126,367,,"C/ Castellnou 61, 08017 Barcelona Spain",+34 932 03 05 50,41.396465,2.128625,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228546-Reviews-Catalonia_Castellnou-Barcelona_Catalonia.html
228553,Catalonia Gracia,4,4.1,881,#171 of 521 hotels in Barcelona,145,605,,"Còrsega, 368, 08037 Barcelona Spain",+34 932 08 19 19,41.398754,2.162368,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228553-Reviews-Catalonia_Gracia-Barcelona_Catalonia.html
228554,Ac Hotel Diagonal L´illa,4,4.4,351,#192 of 521 hotels in Barcelona,225,497,,"Avinguda Diagonal 555 L'illa Mall Barcelona, 08029 Barcelona Spain",+34 934 94 25 00,41.38998,2.135628,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228554-Reviews-Ac_Hotel_Diagonal_L_illa-Barcelona_Catalonia.html
228556,Caledonian Hotel,3,3.9,847,#252 of 521 hotels in Barcelona,121,446,,"Gran Vía de Les Corts Catalanes, 574, 08011 Barcelona Spain",+34 934 53 02 00,41.384186,2.161928,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228556-Reviews-Caledonian_Hotel-Barcelona_Catalonia.html
228563,Hotel Hesperia Presidente Barcelona,4,4.2,1394,#186 of 521 hotels in Barcelona,160,438,$149,"Avinguda Diagonal, 570, 08021 Barcelona Spain",+34 932 00 21 11,41.394215,2.149017,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228563-Reviews-Hotel_Hesperia_Presidente_Barcelona-Barcelona_Catalonia.html
228572,Hotel Catalonia Barcelona 505,4,3.7,814,#341 of 521 hotels in Barcelona,127,449,,"Calle Muntaner, 505, 08022 Barcelona Spain",+34 932 12 80 12,41.403206,2.137134,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228572-Reviews-Hotel_Catalonia_Barcelona_505-Barcelona_Catalonia.html
228576,Catalonia Diagonal Centro,4,3.8,815,#280 of 521 hotels in Barcelona,169,629,,"C/ de Balmes, 142-146, 08008 Barcelona Spain",+34 934 15 90 90,41.393963,2.156844,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228576-Reviews-Catalonia_Diagonal_Centro-Barcelona_Catalonia.html
228579,Hotel Atlantis By Atbcn,3,4.1,971,#232 of 521 hotels in Barcelona,,,,"Carrer De Pelai 20, 08001 Barcelona Spain",+34 933 18 90 12,41.38571,2.166395,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228579-Reviews-Hotel_Atlantis_By_Atbcn-Barcelona_Catalonia.html
228590,Hotel Astoria,3,4.3,2007,#100 of 521 hotels in Barcelona,126,442,$113,"Carrer De Paris, 203, 08036 Barcelona Spain",+34 932 09 83 11,41.393997,2.153488,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228590-Reviews-Hotel_Astoria-Barcelona_Catalonia.html
228592,Apartamentos Hesperia Barcelona Sant Joan,3,3.9,1055,#312 of 521 hotels in Barcelona,93,212,$95,"Calle Josep Trueta 2, 08970 Barcelona Spain",+34 934 77 30 03,41.3734,2.07078,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228592-Reviews-Apartamentos_Hesperia_Barcelona_Sant_Joan-Barcelona_Catalonia.html
228595,Hotel Silken St. Gervasi,3,4,677,#249 of 521 hotels in Barcelona,106,261,,"Sant Gervasi de Cassoles 26, 08022 Barcelona Spain",+34 932 53 17 40,41.404728,2.138844,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228595-Reviews-Hotel_Silken_St_Gervasi-Barcelona_Catalonia.html
228607,Catalonia Barcelona Beach,4,3.8,734,#332 of 521 hotels in Barcelona,126,372,,"C/ d'Espronceda, 6, 08005 Barcelona Spain",+34 935 45 05 60,41.40142,2.210049,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228607-Reviews-Catalonia_Barcelona_Beach-Barcelona_Catalonia.html
228610,Hotel Balmes,4,4.2,1759,#147 of 521 hotels in Barcelona,149,547,$227,"Mallorca, 216, 08008 Barcelona Spain",+34 934 45 65 00,41.391163,2.15928,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228610-Reviews-Hotel_Balmes-Barcelona_Catalonia.html
228621,Hotel Front Maritim,4,3.6,1346,#365 of 521 hotels in Barcelona,130,317,$146,"Passeig Garcia Faria 69-71, 08019 Barcelona Spain",+34 933 03 44 40,41.403824,2.213772,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228621-Reviews-Hotel_Front_Maritim-Barcelona_Catalonia.html
228626,Abba Sants Hotel,4,3.8,843,#303 of 521 hotels in Barcelona,139,347,$152,"C/ de Numància, 32, 08029 Barcelona Spain",+34 936 00 31 00,41.38258,2.139997,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228626-Reviews-Abba_Sants_Hotel-Barcelona_Catalonia.html
228634,Royal Ramblas Hotel,4,4.2,2882,#176 of 521 hotels in Barcelona,171,415,,"Ramblas, 117, 08002 Barcelona Spain",+34 933 01 94 00,41.384274,2.170475,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228634-Reviews-Royal_Ramblas_Hotel-Barcelona_Catalonia.html
228642,Catalonia Plaza Catalunya,4,4.2,2090,#194 of 521 hotels in Barcelona,181,674,$362,"Bergara 11, 08002 Barcelona Spain",+34 933 01 51 51,41.386612,2.170254,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228642-Reviews-Catalonia_Plaza_Catalunya-Barcelona_Catalonia.html
228648,"Alexandra Barcelona Hotel, Curio Collection by Hilton",4,4.4,3399,#27 of 521 hotels in Barcelona,216,565,$246,"Calle Mallorca 251, 08008 Barcelona Spain",+34 934 67 71 66,41.39317,2.161429,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228648-Reviews-Alexandra_Barcelona_Hotel_Curio_Collection_by_Hilton-Barcelona_Catalonia.html
228653,Hotel America Barcelona,4,4.3,424,#202 of 521 hotels in Barcelona,149,795,$230,"C/Provenza, 195, 08008 Barcelona Spain",+34 934 87 62 92,41.391872,2.157246,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d228653-Reviews-Hotel_America_Barcelona-Barcelona_Catalonia.html
229676,Catalonia Barcelona Plaza,4,4.1,3974,#240 of 521 hotels in Barcelona,173,791,$379,"Plaza Espana 6-8, 08014 Barcelona Spain",+34 934 26 26 00,41.375607,2.148524,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229676-Reviews-Catalonia_Barcelona_Plaza-Barcelona_Catalonia.html
229677,Hotel Condes De Barcelona,4,4.1,2032,#203 of 521 hotels in Barcelona,217,555,$233,"Passeig De Gràcia, 73, 08008 Barcelona Spain",+34 934 45 00 00,41.39355,2.1627,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229677-Reviews-Hotel_Condes_De_Barcelona-Barcelona_Catalonia.html
229678,Attica 21 Barcelona Mar,4,4,809,#231 of 521 hotels in Barcelona,126,5178,$117,"C. de Provençals, 10, 08019 Barcelona Spain",+34 932 66 52 00,41.40516,2.211861,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229678-Reviews-Attica_21_Barcelona_Mar-Barcelona_Catalonia.html
229679,Le Méridien Barcelona,5,4.3,3222,#163 of 521 hotels in Barcelona,327,787,$383,"La Rambla 111, Carrer Del Pintor Fortuny 4-6, 08001 Barcelona Spain",+34 933 18 62 00,41.38371,2.17113,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229679-Reviews-Le_Meridien_Barcelona-Barcelona_Catalonia.html
229680,Meliá Barcelona Sarrià,5,4.2,3235,#209 of 521 hotels in Barcelona,209,619,$182,"Avinguda De Sarrià 50, 08029 Barcelona Spain",+34 934 10 60 60,41.391018,2.141726,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229680-Reviews-Melia_Barcelona_Sarria-Barcelona_Catalonia.html
229682,Ramblas Hotel,3,3.2,1156,#142 of 313 B&Bs / Inns in Barcelona,130,349,$114,"La Rambla, 33, 08002 Barcelona Spain",+34 933 01 57 00,41.37898,2.174822,BB,https://www.tripadvisor.com/Hotel_Review-g187497-d229682-Reviews-Ramblas_Hotel-Barcelona_Catalonia.html
229871,Hotel Abbot,4,3.1,293,#493 of 521 hotels in Barcelona,122,199,,"Avenida de Roma 23, 08029 Barcelona Spain",+34 934 30 04 05,41.381554,2.144896,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229871-Reviews-Hotel_Abbot-Barcelona_Catalonia.html
229872,Hotel Adagio,2,3.6,613,#370 of 521 hotels in Barcelona,185,573,,"Carrer de Ferran, 21, 08002 Barcelona Spain",+34 933 18 90 61,41.381123,2.175099,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229872-Reviews-Hotel_Adagio-Barcelona_Catalonia.html
229999,Best Western Premier Hotel Dante,4,4.4,1738,#72 of 521 hotels in Barcelona,135,639,,"Mallorca 181, 08036 Barcelona Spain",+34 933 23 22 54,41.38943,2.156508,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d229999-Reviews-Best_Western_Premier_Hotel_Dante-Barcelona_Catalonia.html
230643,Hotel Barcelona Universal,4,4.4,5854,#149 of 521 hotels in Barcelona,134,406,$277,"Av. del Paral·lel, 76-80, 08001 Barcelona Spain",+34 935 67 74 47,41.37525,2.16833,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d230643-Reviews-Hotel_Barcelona_Universal-Barcelona_Catalonia.html
231502,INNSiDE by Meliá Barcelona Apolo,,4.4,207,#173 of 521 hotels in Barcelona,163,536,$164,"Avenida del Paralelo 57-59, 08004 Barcelona Spain",+34 933 43 30 00,41.374752,2.170721,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d231502-Reviews-INNSiDE_by_Melia_Barcelona_Apolo-Barcelona_Catalonia.html
231503,Atenea Calàbria Apartaments,3,4,998,#241 of 521 hotels in Barcelona,116,364,$126,"Carrer de Calàbria 129, 08015 Barcelona Spain",+34 934 26 42 28,41.38091,2.153214,HOTEL,https://www.tripadvisor.com/Hotel_Review-g187497-d231503-Reviews-Atenea_Calabria_Apartaments-Barcelona_Catalonia.html
